Year;Total Population;Males Population;Females Population;Total increase of Population;Increase of Population Males;Increase of Population Females
1950;4029803;1926161;2103642;41807;21428;20379
1951;4064727;1943081;2121646;34924;16920;18004
1952;4116228;1969494;2146734;51501;26413;25088
1953;4162609;1993713;2168896;46381;24219;22162
1954;4211191;2018695;2192496;48582;24982;23600
1955;4258571;2043382;2215189;47380;24687;22693
1956;4304832;2067399;2237433;46261;24017;22244
1957;4343190;2087631;2255559;38358;20232;18126
1958;4376314;2105208;2271106;33124;17577;15547
1959;4413046;2124665;2288381;36732;19457;17275
1960;4446222;2142263;2303959;33176;17598;15578
1961;4475787;2157873;2317914;29565;15610;13955
1962;4507098;2174124;2332974;31311;16251;15060
1963;4539519;2190753;2348766;32421;16629;15792
1964;4557567;2200340;2357227;18048;9587;8461
1965;4569896;2207250;2362646;12329;6910;5419
1966;4591842;2218601;2373241;21946;11351;10595
1967;4619645;2232588;2387057;27803;13987;13816
1968;4633292;2239681;2393611;13647;7093;6554
1969;4614277;2230217;2384060;-19015;-9464;-9551
1970;4598336;2219985;2378351;-15941;-10232;-5709
1971;4625912;2234037;2391875;27576;14052;13524
1972;4653401;2249051;2404350;27489;15014;12475
1973;4678761;2262142;2416619;25360;13091;12269
1974;4702387;2273815;2428572;23626;11673;11953
1975;4720492;2282115;2438377;18105;8300;9805
1976;4730836;2286392;2444444;10344;4277;6067
1977;4746967;2295668;2451299;16131;9276;6855
1978;4758088;2300790;2457298;11121;5122;5999
1979;4771292;2306784;2464508;13204;5994;7210
1980;4787778;2314843;2472935;16486;8059;8427
1981;4812150;2327473;2484677;24372;12630;11742
1982;4841715;2342869;2498846;29565;15396;14169
1983;4869858;2357172;2512686;28143;14303;13840
1984;4893748;2369228;2524520;23890;12056;11834
1985;4910664;2377780;2532884;16916;8552;8364
1986;4925644;2385866;2539778;14980;8086;6894
1987;4938602;2392868;2545734;12958;7002;5956
1988;4954359;2401368;2552991;15757;8500;7257
1989;4974383;2412760;2561623;20024;11392;8632
1990;4998478;2426204;2572274;24095;13444;10651
1991;5029002;2443042;2585960;30524;16838;13686
1992;5054982;2457282;2597700;25980;14240;11740
1993;5077912;2470196;2607716;22930;12914;10016
1994;5098754;2481649;2617105;20842;11453;9389
1995;5116826;2491701;2625125;18072;10052;8020
1996;5132320;2500596;2631724;15494;8895;6599
1997;5147349;2509098;2638251;15029;8502;6527
1998;5159646;2516075;2643571;12297;6977;5320
1999;5171302;2523026;2648276;11656;6951;4705
2000;5181115;2529341;2651774;9813;6315;3498
2001;5194901;2537597;2657304;13786;8256;5530
2002;5206295;2544916;2661379;11394;7319;4075
2003;5219732;2552893;2666839;13437;7977;5460
2004;5236611;2562077;2674534;16879;9184;7695
2005;5255580;2572350;2683230;18969;10273;8696
2006;5276955;2583742;2693213;21375;11392;9983
2007;5300484;2596787;2703697;23529;13045;10484
2008;5326314;2611653;2714661;25830;14866;10964
2009;5351427;2625067;2726360;25113;13414;11699
2010;5375276;2638416;2736860;23849;13349;10500
2011;5401267;2652534;2748733;25991;14118;11873
2012;5426674;2666622;2760052;25407;14088;11319
2013;5451270;2680364;2770906;24596;13742;10854
2014;5471753;2691863;2779890;20483;11499;8984
2015;5487308;2701490;2785818;15555;9627;5928
2016;5503297;2712327;2790970;15989;10837;5152
2017;5513130;2719131;2793999;9833;6804;3029
2018;5517919;2723290;2794629;4789;4159;630
2019;5525292;2728262;2797030;7373;4972;2401
2020;5533793;2733808;2799985;8501;5546;2955
2021;5548241;2743101;2805140;14448;9293;5155
