"Month","Trips, no. in thousands Total","Trips, no. in thousands Leisure","Trips, no. in thousands Business"
"2012M01",650,450,200
"2012M02",760,530,230
"2012M03",770,540,230
"2012M04",960,690,270
"2012M05",960,740,220
"2012M06",850,710,140
"2012M07",1080,1010,..
"2012M08",780,650,130
"2012M09",680,550,130
"2012M10",830,610,210
"2012M11",850,660,190
"2012M12",810,650,160
"2013M01",490,400,..
"2013M02",690,540,150
"2013M03",760,620,130
"2013M04",890,710,180
"2013M05",880,730,150
"2013M06",820,690,140
"2013M07",1020,940,..
"2013M08",790,680,100
"2013M09",820,620,210
"2013M10",900,670,230
"2013M11",710,560,150
"2013M12",760,650,110
"2014M01",570,460,100
"2014M02",730,590,130
"2014M03",810,620,190
"2014M04",920,730,190
"2014M05",950,720,230
"2014M06",870,720,150
"2014M07",1100,1040,..
"2014M08",770,680,..
"2014M09",770,540,220
"2014M10",790,590,200
"2014M11",800,650,140
"2014M12",710,560,150
"2015M01",610,490,120
"2015M02",660,510,160
"2015M03",830,640,190
"2015M04",970,820,150
"2015M05",980,780,210
"2015M06",940,770,160
"2015M07",1020,970,..
"2015M08",770,620,150
"2015M09",830,660,170
"2015M10",810,640,170
"2015M11",810,610,190
"2015M12",790,630,160
"2016M01",520,440,..
"2016M02",700,510,190
"2016M03",870,670,200
"2016M04",910,720,200
"2016M05",1040,830,220
"2016M06",950,780,170
"2016M07",1020,1000,..
"2016M08",890,770,120
"2016M09",800,570,230
"2016M10",920,680,240
"2016M11",830,610,220
"2016M12",820,640,180
"2017M01",590,480,110
"2017M02",700,540,160
"2017M03",870,680,190
"2017M04",910,760,150
"2017M05",960,740,220
"2017M06",1050,860,190
"2017M07",1160,1080,..
"2017M08",830,690,140
"2017M09",880,640,230
"2017M10",900,710,200
"2017M11",880,690,190
"2017M12",760,650,110
"2018M01",570,450,120
"2018M02",660,520,150
"2018M03",850,710,140
"2018M04",1030,780,250
"2018M05",1050,720,330
"2018M06",1050,810,240
"2018M07",1020,930,..
"2018M08",980,780,200
"2018M09",800,600,210
"2018M10",870,670,200
"2018M11",840,600,240
"2018M12",750,620,140
"2019M01",780,540,240
"2019M02",850,640,210
"2019M03",810,600,210
"2019M04",890,670,210
"2019M05",860,640,230
"2019M06",880,760,130
"2019M07",1110,1060,..
"2019M08",850,680,170
"2019M09",860,650,210
"2019M10",940,700,250
"2019M11",720,530,190
"2019M12",870,670,200
"2020M01",670,550,120
"2020M02",650,510,140
"2020M03",330,300,..
"2020M04",..,..,..
"2020M05",..,..,..
"2020M06",..,..,..
"2020M07",300,280,..
"2020M08",240,230,..
"2020M09",130,130,..
"2020M10",100,..,..
"2020M11",..,..,..
"2020M12",..,..,..
"2021M01",..,..,..
"2021M02",..,..,..
"2021M03",..,..,..
"2021M04",..,..,..
"2021M05",..,..,..
"2021M06",150,120,..
"2021M07",230,210,..
"2021M08",250,220,..
"2021M09",300,280,..
"2021M10",380,320,..
"2021M11",420,340,..
"2021M12",300,250,..
"2022M01",290,260,..
"2022M02",250,220,..
"2022M03",350,290,..
"2022M04",540,440,110
